0,0
-0.0063,-0.1246
-0.024,-0.3564
-0.0533,-0.5863
-0.0942,-0.8162
-0.1465,-1.0451
-0.21,-1.2724
-0.2848,-1.4978
-0.3708,-1.721
-0.4679,-1.9413
-0.5759,-2.1582
-0.6944,-2.3701
-0.8231,-2.5762
-0.9619,-2.7751
-1.11,-2.9639
-1.2671,-3.1412
-1.4322,-3.3019
-1.6044,-3.4428
-1.7822,-3.5563
-1.9616,-3.5891
-2.1248,-3.2652
-2.2706,-2.9154
-2.4005,-2.598
-2.517,-2.3305
-2.6227,-2.1142
-2.7204,-1.953
-2.8129,-1.8507
-2.9036,-1.8131
-2.996,-1.8485
-3.0943,-1.9654
-3.2033,-2.1805
-3.3283,-2.5006
-3.4727,-2.8868
-3.6396,-3.338
-3.8321,-3.8498
-4.0529,-4.4168
-4.2973,-4.8875
-4.5491,-5.0369
-4.8058,-5.1337
-5.0648,-5.1786
-5.3232,-5.1685
-5.5779,-5.0959
-5.8279,-4.9998
-6.075,-4.9403
-6.3209,-4.9186
-6.5672,-4.9242
-6.8149,-4.9557
-7.0654,-5.0107
-7.32,-5.091
-7.5801,-5.2003
-7.8471,-5.3421
-8.1225,-5.507
-8.4056,-5.6607
-8.6782,-5.4537
-8.9299,-5.0346
-9.1616,-4.6323
-9.3746,-4.2602
-9.5702,-3.9115
-9.7493,-3.5807
-9.9124,-3.2643
-10.0603,-2.9582
-10.1935,-2.6604
-10.3119,-2.3696
-10.416,-2.084
-10.5062,-1.802
-10.5825,-1.5234
-10.6449,-1.2475
-10.6936,-0.9733
-10.7287,-0.7008
-10.7502,-0.4281
-10.7581,-0.1506
