0,0
0.0048,0.0952
0.0173,0.2512
0.0363,0.379
0.0617,0.5085
0.0937,0.6414
0.1328,0.7802
0.1791,0.927
0.2333,1.0842
0.2961,1.2562
0.3683,1.444
0.4508,1.65
0.5446,1.8765
0.6507,2.1211
0.7698,2.3828
0.9028,2.6602
1.0503,2.9482
1.2125,3.2448
1.3898,3.5466
1.5823,3.8507
1.7902,4.156
2.0132,4.4596
2.2512,4.7616
2.5042,5.0609
2.7721,5.3576
3.0547,5.6509
3.3517,5.9414
3.6632,6.2293
3.9888,6.5143
4.3288,6.7974
4.6827,7.0783
5.0505,7.3575
5.4323,7.6354
5.8218,7.7887
6.2127,7.8183
6.6002,7.7499
6.9767,7.5301
7.342,7.3065
7.6961,7.0799
8.0385,6.8509
8.3696,6.62
8.689,6.3874
8.9967,6.1536
9.2925,5.9186
9.5768,5.6826
9.849,5.4457
10.1094,5.2081
10.3579,4.9698
10.5944,4.7306
10.8189,4.4907
11.0315,4.2499
11.2319,4.0081
11.4201,3.7655
11.5962,3.5214
11.76,3.2761
11.9115,3.0292
12.0505,2.7807
12.177,2.53
12.2909,2.2773
12.392,2.0223
12.4803,1.7649
12.5555,1.5052
12.6177,1.243
12.6666,0.9787
12.7022,0.7125
12.7245,0.444
12.7333,0.1586
