0,0
0.0066,0.1319
0.0262,0.3923
0.0592,0.6596
0.1056,0.9277
0.1654,1.1962
0.2387,1.4659
0.3255,1.7374
0.426,2.0107
0.5403,2.2867
0.6686,2.5659
0.8111,2.8489
0.9679,3.1365
1.1394,3.4298
1.3258,3.7293
1.5277,4.0364
1.7452,4.3514
1.9722,4.54
2.2016,4.5884
2.4327,4.6223
2.665,4.6446
2.8974,4.6479
3.1286,4.6244
3.3569,4.5672
3.5806,4.4723
3.7976,4.342
4.0069,4.1843
4.2076,4.0139
4.4,3.8474
4.5849,3.7003
4.7641,3.5834
4.9392,3.5009
5.1118,3.4518
5.2833,3.431
5.455,3.4327
5.6274,3.4493
5.8012,3.4755
5.9766,3.5074
6.1536,3.5409
6.3324,3.5751
6.5127,3.6075
6.6947,3.6384
6.878,3.6669
7.0626,3.693
7.2485,3.7169
7.4355,3.7385
7.6234,3.758
7.8121,3.7757
